,Article Titles,List of Article Author Names,Publication Dates
0,Applying MAP-MRI to Identify the WHO Grade and Main Genetic Features of Adult-type Diffuse Gliomas: A Comparison of Three Diffusion-weighted MRI Models,"Peng Wang,Jinlong He,Xueying Ma,...Huapeng Zhang,Shenghui Xie,Yang Gao","November 05, 2022"
1,Clinical Decision Support: Impact on Appropriate Imaging Utilization,"Matthew E. Zygmont,Ichiro Ikuta,Xuan V. Nguyen,L. Alexandre R. Frigini,Colin Segovis,David M. Naeger","November 04, 2022"
2,Pulse Sequence Dependence of a Simple and Interpretable Deep Learning Method for Detection of Clinically Significant Prostate Cancer Using Multiparametric MRI,"Heejong Kim,Daniel J.A. Margolis,Himanshu Nagar,Mert R. Sabuncu","November 02, 2022"
3,Radiological Features of Bone Lymphoma on CT and MRI. A Retrospective Monocentric Series of 56 Patients,"Phuong Thao Nguyen,Elodie Sibileau,Marc Polivka,Grégoire Attané,Valérie Bousson","October 31, 2022"
4,Predicting Meningioma Resection Status: Use of Deep Learning,"Burak Han Akkurt,Stefan Wanderer,Lucia Schwyzer,...Walter Heindel,Luca Remonda,Manoj Mannil","October 30, 2022"
5,Artificial Intelligence Literacy: Developing a Multi-institutional Infrastructure for AI Education,"J.D. Perchik,A.D. Smith,A.A. Elkassem,...A. Sturdivant,S. Tridandapani,H. Sotoudeh","October 30, 2022"
6,Inspiring New Generations in the Field of Nuclear Medicine. A Growing Discipline,"Karen Cifuentes Gaitan,José David Cardona Ortegón,Silvia González-Gómez,Rafael Gomez Ramírez","October 30, 2022"
7,Shear Wave Elastography Combined with Molecular Subtype in Early Prediction of Pathological Response to Neoadjuvant Chemotherapy in Patients with Breast Cancer: A Prospective Study,"Jia-Xin Huang,Shi-Yang Lin,Yan Ou,...Yuan Zhong,Ming-Jie Wei,Xiao-Qing Pei","October 28, 2022"
8,Letter to the Editor: Leadership Training Is for Everyone,Benjamin J. May,"October 27, 2022"
9,Technological Adaptation in Education. A Challenge in Advanced Medical Traitning,"Valentina Ferrer Valencia,José David Cardona Ortegón,Adriana Maria Barrera Patiño,Catalina Barragan Corrales","October 22, 2022"
10,Becoming an Expert Radiology Educator Through Deliberate Practice,"Eric L. Tung,Omer A. Awan","October 22, 2022"
11,An MRI-based Scoring System for Preoperative Prediction of Axillary Response to Neoadjuvant Chemotherapy in Node-Positive Breast Cancer: A Multicenter Retrospective Study,"Xiaomei Huang,Zhenwei Shi,Jinhai Mai,...Xin Chen,Changhong Liang,Zaiyi Liu","October 21, 2022"
12,"Multiparametric Quantitative Imaging in Risk Prediction: Recommendations for Data Acquisition, Technical Performance Assessment, and Model Development and Validation","Erich P. Huang,Gene Pennello,Nandita M. deSouza,...David L. Raunig,Alexander R. Guimaraes,Nancy A. Obuchowski","October 20, 2022"
13,Evaluation of h-index in Academic Interventional Radiology,"Srinidhi Shanmugasundaram,Bunchhin Huy,Dhvani Shihora,Nicole Lamparello,Abhishek Kumar,Pratik Shukla","October 18, 2022"
14,How Radiologists Who Volunteer in Their Communities Enrich Lives,"Jonathan A. Class,Richard B. Gunderman","October 18, 2022"
15,Does hypointense HCC in the Hepatobiliary Phase at Gadoxetate-Enhanced MRI Predict Recurrence After Surgery? A Systematic Review and Meta-analysis,"Fernanda A. Braga,Ulysses S. Torres,Wagner Iared,Giuseppe D´Ippolito","October 15, 2022"
16,"Intermuscular Fat, But Not Subcutaneous Fat, Correlated With Major Complications After Primary Total Hip Arthroplasty","Jinlong Yu,Mingliang Wang,Hao Shen","October 15, 2022"
17,Improving Inclusivity For the LGBTQ Community in Radiology Departments: Taking Concrete Steps Forward,Eric England,"October 15, 2022"
18,Preoperative Extrapancreatic Extension Prediction in Patients with Pancreatic Cancer Using Multiparameter MRI and Machine Learning-Based Radiomics Model,"Ni Xie,Xuhui Fan,Haoran Xie,...Han Wang,Xiaorui Yin,Baiwen Li","October 14, 2022"
19,Preliminary Feasibility Study on Diffusion Kurtosis Imaging to Monitor the Early Functional Alterations of Kidneys in Streptozocin-Induced Diabetic Rats,"Zhong-Yuan Cheng,Ping-Kang Chen,You-Zhen Feng,Xiao-Qiao Chen,Long Qian,Xiang-Ran Cai","October 13, 2022"
20,Correlations Between Preoperative Radiographic Vascular Involvement of Abdominal/Pelvic Neuroblastomas on Computed Tomography and Intraoperative Vascular Injuries: Experience From a Tertiary Children's Hospital,"Haoru Wang,Ting Li,Xin Chen,...Hao Ding,Jinjie Qin,Ling He","October 09, 2022"
21,Prediction of Central Lymph Node Metastasis in cN0 Papillary Thyroid Carcinoma by CT Radiomics,"Yun Peng,Zhao-Tao Zhang,Tong-Tong Wang,...Min-Jing Zuo,Hua-Shan Lin,Liang-Geng Gong","October 08, 2022"
22,"Improving Prostate Cancer Detection With MRI: A Multi-Reader, Multi-Case Study Using Computer-Aided Detection (CAD)","Mark A. Anderson,Sarah Mercaldo,Ryan Chung,Ethan Ulrich,Randall W. Jones,Mukesh Harisinghani","October 07, 2022"
23,Problem Based Learning in Radiology Education: Benefits and Applications,"Charles A. Bisbee,Michael J. Vaccaro,Omer A. Awan","October 06, 2022"
24,Multiparametric Quantitative Imaging Biomarkers for Phenotype Classification: A Framework for Development and Validation,"Jana G. Delfino,Gene A. Pennello,Huiman X. Barnhart,...Timothy J. Hall,Nandita M. deSouza,Nancy Obuchowski","October 04, 2022"
25,Accelerated Fellowships Applicable Across all Subspecialty Areas of Diagnostic Radiology as a Catalyst for Academic Recruitment,"Desiree E. Morgan,Jessica G. Zarzour,Natasha Millette,Samuel J. Galgano,Elainea N. Smith,Cheri L. Canon","October 03, 2022"
26,"Author response to the Letter to the Editor by Ortegon et al, “Radiologic visual journey through the grayscale. The observation bias”",Erin A Cooke,"September 30, 2022"
27,Response to: Letter to the Editor; Physician Wellness and Burnout: A Difficult Equilibrium to Manage,Jake Barrett,"September 30, 2022"
28,Tracking Docetaxel-Induced Cellular Proliferation Changes in Prostate Tumor-Bearing Mice with 18F-FMAU PET,"Hossein Jadvar,Ryan Park,Ivetta Vorobyova,Kai Chen","September 29, 2022"
29,A CT-Based Radiomics Model for Evaluating Peritoneal Cancer Index in Peritoneal Metastasis Cases: A Preliminary Study,"Qianwen Zhang,Yuan Yuan,Sijie Li,...Qiang Hao,Yong Lu,Fu Shen","September 28, 2022"
30,Impact of Shift Volume on Neuroradiology Diagnostic Errors at a Large Tertiary Academic Center,"Vladimir Ivanovic,Alireza Paydar,Yu-Ming Chang,...David Smullen,Andrew Klein,Lotfi Hacein-Bey","September 27, 2022"
31,A Framework for Evaluating the Technical Performance of Multiparameter Quantitative Imaging Biomarkers (mp-QIBs),"Nancy A Obuchowski,Erich Huang,Nandita M deSouza,...Timothy J Hall,Paul Kinahan,Gene Pennello","September 27, 2022"
32,The Different Evaluative Significance of Enlarged Lymph Nodes on Preoperative CT in the N Stage for Patients with Suspected Subsolid and Solid Lung Cancers,"Bin Wang,Ke Sun,Xue Meng,Maheshkumar Satishkumar Bhuva,Xiwen Sun,Yangyang Sun","September 26, 2022"
33,Gantry-Free High-Resolution Cone-Beam CT: Efficacy for Distal Radius and Scaphoid Fracture Detection and Characterization,"Jan-Peter Grunz,Martin C. Jordan,Rainer Schmitt,...Rainer H. Meffert,Thorsten A. Bley,Andreas S. Kunz","September 25, 2022"
34,Comparative Analysis of Radiology Trainee Burnout Using the Maslach Burnout Inventory and Oldenburg Burnout Inventory,"Rebecca T. Le,Brian Sifrig,David Chesire,...Joanna Kee-Sampson,Jerry Matteo,Travis E. Meyer","September 25, 2022"
35,Clinical Usefulness of the CT-Based Radiomics Nomogram in Predicting the Postoperative Prognosis of Colorectal Cancer,"Qing-xiu Huang,Xiao-wen Huang","September 24, 2022"
36,Educating Medical Students About Molecular Imaging,"Adeel Ashraf,Nabeel Ashraf,Hamideh Zarrinmayeh,Richard B Gunderman","September 24, 2022"
37,Nanoparticle Contrast-enhanced MRI for Visualization of Retroplacental Clear Space Disruption in a Mouse Model of Placental Accreta Spectrum (PAS),"Andrew A. Badachhape,Prajwal Bhandari,Laxman Devkota,...Chandrasekhar Yallampalli,Ananth V. Annapragada,Ketan B. Ghaghada","September 24, 2022"
38,Promoting Research in Medical Practice: Resident Managed Peer-Mentoring Program,"Dhairya A Lakhani,Aneri B Balar,Katie J Swaney,Sabah Servaes,Jeffery P Hogg","September 23, 2022"
39,"Proposed Multilevel measures to Support Diversity, Equity and Inclusion (DEI) Efforts in Radiology","Supriya Gupta,Angela I. Choe,Peter A. Hardy,...Linda Probyn,Omer A. Awan,Christopher M. Straus","September 22, 2022"
40,A Nomogram Incorporating Tumor-Related Vessels for Differentiating Adenocarcinoma In Situ from Minimally Invasive and Invasive Adenocarcinoma Appearing as Subsolid Nodules,"Lin Deng,Han Zhou Tang,Jin Wei Qiang,Li Min Xue","September 21, 2022"
41,Effect of Biliary Tract Invasion with Obstructive Jaundice on the Prognosis of Patients With Unresectable Hepatocellular Carcinoma,"Weiwei Jiang,Xiaobo Fu,Guobao Wang,Han Qi,Zixiong Chen,Fei Gao","September 20, 2022"
42,Metaplastic Carcinoma of the Breast: MRI Features with Clinical and Histopathologic Correlation,"Siqi Wang,Jianjuan Lou,Qigui Zou,Yanni Jiang,Shouju Wang,Haibin Shi","September 19, 2022"
43,The Value of Superb Microvascular Imaging and Contrast-enhanced Ultrasound for the Evaluation of Neovascularization in Carotid Artery Plaques,"Yanqin Guo,Xinghua Wang,Lu Wang,...Xiaohuan Yang,Min Zhang,Bin Zhao","September 17, 2022"
44,Combined MRI and PSA Strategy Improves Biopsy Decisions Compared with PSA Only: Longitudinal Observations of a Cohort of Patients with a PSA Level Less Than 20 ng/mL,"Moon Hyung Choi,U-Syn Ha,Yong-Hyun Park,...Young Joon Lee,Woojoo Lee,Seungpil Jung","September 17, 2022"
45,Current Perception of Diversity in Academic Radiology: A Mixed Methods Study of Radiology Program Directors,"Angela I. Choe,Kayla Krause,Heather Costigan,...Linda Probyn,Christopher M. Straus,Lauren J. Van Scoy","September 15, 2022"
46,Diagnostic Value of 18F-FDG PET/CT-Based Radiomics Nomogram in Bone Marrow Involvement of Pediatric Neuroblastoma,"Lijuan Feng,Xu Yang,Xia Lu,...Hui Zhang,Wei Wang,Jigang Yang","September 15, 2022"
47,Relationship Between Epicardial Adipose Tissue and Biventricular Longitudinal Strain and Strain Rate in Patients with Type 2 Diabetes Mellitus,"Jing Zhu,Wenjia Li,Zhen Xie,Kaimin Zhuo","September 14, 2022"
48,Solitary Dilated Ducts Revisited: Malignancy Rate and Implications for Management,"Babita Panigrahi,Kevin Fernandes,Lisa A. Mullen,...Mary Philip,Philip Di Carlo,Emily B. Ambinder","September 14, 2022"
49,Impact of Sex and Menopausal Status on the Association Between Epicardial Adipose Tissue and Diastolic Function in Patients with Type 2 Diabetes Mellitus,"Jing Zhu,Wei Zhou,Zhen Xie,Wenjia Li,Kaimin Zhuo","September 13, 2022"
